view_name,priority,anon_grant,authenticated_grant,public_grant,service_role_grant,reloptions
v_ops_reentry_misses,P2_admin,f,f,f,f,""
v_ops_resilience_dashboard,P2_admin,f,f,f,f,""
v_ops_shadow_zombies,P2_admin,f,f,f,f,""
v_ops_stale_admin_holds,P2_admin,f,f,f,f,""
v_ops_step_job_coupling_gaps,P2_admin,f,f,f,f,""
v_ops_worker_liveness,P2_admin,f,f,f,f,""
pipeline_deadlock_detection,P3,f,f,f,f,""
v_active_job_quarantines,P3,f,f,f,f,""
v_batch_canary_kpi,P3,f,f,f,f,""
v_beruf_priority,P3,f,f,f,f,""
v_berufe_public_safe,P3,f,f,f,f,""
v_blueprint_preflight_status,P3,f,f,f,f,""
v_blueprint_preflight_summary,P3,f,f,f,f,""
v_blueprint_variant_stats,P3,f,f,f,f,""
v_building_package_eta,P3,f,f,f,f,""
v_compliance_dashboard,P3,f,f,f,f,""
v_contract_integrity_summary,P3,f,f,f,f,""
v_course_display_ssot,P3,f,f,f,f,""
v_data_integrity_audit,P3,f,f,f,f,""
v_entitlement_migration_audit,P3,f,f,f,f,""
v_exam_promotion_metrics,P3,f,f,f,f,""
v_exam_promotion_readiness,P3,f,f,f,f,""
v_exam_questions_safe,P3,f,f,f,f,""
v_exam_relevant_questions,P3,f,f,f,f,""
v_executive_decision_summary,P3,f,f,f,f,""
v_experiment_results,P3,f,f,f,f,""
v_full_course_catalog,P3,f,f,f,f,""
v_homepage_course_catalog,P3,f,f,f,f,""
v_humor_delivery_kpi,P3,f,f,f,f,""
v_humor_lesson_impact,P3,f,f,f,f,""
v_humor_minicheck_impact,P3,f,f,f,f,""
v_humor_recovery_impact,P3,f,f,f,f,""
v_humor_tutor_impact,P3,f,f,f,f,""
v_integrity_check_heartbeat_health,P3,f,f,f,f,""
v_latest_business_kpi,P3,f,f,f,f,""
v_latest_control_plane_snapshot,P3,f,f,f,f,""
v_latest_course_package,P3,f,f,f,f,""
v_latest_lesson_content,P3,f,f,f,f,""
v_latest_probe_run,P3,f,f,f,f,""
v_learner_visible_exam_simulations,P3,f,f,f,f,""
v_lesson_throughput_12h,P3,f,f,f,f,""
v_llm_batch_overview,P3,f,f,f,f,""
v_minicheck_curriculum_drift,P3,f,f,f,f,""
v_minicheck_qc_overview,P3,f,f,f,f,""
v_mobile_store_purchase_audit,P3,f,f,f,f,""
v_org_license_overview,P3,f,f,f,f,""
v_orphan_blueprint_audit,P3,f,f,f,f,""
v_package_build_priority,P3,f,f,f,f,""
v_package_content_shard_progress,P3,f,f,f,f,""
v_package_hollow_guard_ssot,P3,f,f,f,f,""
v_package_progress_ssot,P3,f,f,f,f,""
v_package_publish_readiness,P3,f,f,f,f,""
v_package_release_classification,P3,f,f,f,f,""
v_package_shard_summary,P3,f,f,f,f,""
v_package_step_load,P3,f,f,f,f,""
v_pending_enqueue_steps,P3,f,f,f,f,""
v_pipeline_canary_qc_promotion,P3,f,f,f,f,""
v_pipeline_content_integrity,P3,f,f,f,f,""
v_pipeline_error_class,P3,f,f,f,f,""
v_pipeline_queue_latency,P3,f,f,f,f,""
v_pipeline_repair_classification,P3,f,f,f,f,""
v_pipeline_stalled_packages,P3,f,f,f,f,""
v_pipeline_step_funnel,P3,f,f,f,f,""
v_pipeline_stuck_processing,P3,f,f,f,f,""
v_prebuild_adoption_candidates,P3,f,f,f,f,""
v_process_health_kpis,P3,f,f,f,f,""
v_product_page_published_ssot,P3,f,f,f,f,""
v_product_page_ssot,P3,f,f,f,f,""
v_provider_cooldown_loss_12h,P3,f,f,f,f,""
v_provider_failure_rate_12h,P3,f,f,f,f,""
v_provider_routing_health,P3,f,f,f,f,""
v_revenue_health,P3,f,f,f,f,""
v_runner_cycle_diagnostics,P3,f,f,f,f,""
v_runner_health_latest,P3,f,f,f,f,""
v_runner_idle_anomaly,P3,f,f,f,f,""
v_runner_tick_overflow_alerts,P3,f,f,f,f,""
v_runner_tick_overflow_health,P3,f,f,f,f,""
v_scheduler_fairness,P3,f,f,f,f,""
v_scheduler_summary,P3,f,f,f,f,""
v_standalone_artifact_health,P3,f,f,f,f,""
v_standalone_license_risk,P3,f,f,f,f,""
v_unified_open_alerts,P3,f,f,f,f,""
v_user_active_recommendations,P3,f,f,f,f,""
v_user_current_readiness,P3,f,f,f,f,""
v_user_readiness_trend,P3,f,f,f,f,""
v_user_top_gaps,P3,f,f,f,f,""
v_wave_ops_summary,P3,f,f,f,f,""
work_v_affiliate_sales,P3,f,f,f,f,""
